类别,月份,序号,车型,销量,口碑评分,价格区间,图片链接
MPV,2025-01,01,腾势D9,10026,4.53,33.98-60.06万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M07/31/CC/872x666_autohomecar__ChxoHWXpU8CAcho9AAtC11uVgY8716.png
MPV,2025-01,02,赛那SIENNA,6786,4.52,29.98-41.08万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/79/95/872x666_autohomecar__ChxoHWYrQRyANDVQAAn17EmQYJ0258.png
MPV,2025-01,03,岚图梦想家,6071,4.54,32.99-44.99万,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M03/AB/72/872x666_autohomecar__Chtlx2gF88iAaz7oAAhEmfkGtOE150.png
MPV,2025-01,04,别克GL8,5980,4.59,22.99-36.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/D2/A7/872x666_autohomecar__ChxkPmcjHl6APPPNAAcnj3A-D_0701.png
MPV,2025-01,05,五菱征程,5424,4.43,6.98-9.08万,https://g.autoimg.cn/@img/car3/cardfs/series/g5/M0D/FF/97/872x666_autohomecar__ChsF3WEsR_CAKH9xAAbwYNT0xa4231.png
MPV,2025-01,06,格瑞维亚,5195,4.45,29.98-41.68万,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M09/37/68/872x666_autohomecar__ChsEbGNpxdSAS4BaAAsWyc_7LfA696.png
MPV,2025-01,07,传祺M8,4991,4.47,17.98-34.28万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M04/32/1D/872x666_autohomecar__ChtlyGgCI7mACAZAAAmdLJf9XDM270.png
MPV,2025-01,08,夏,2794,4.41,24.98-30.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M09/E9/91/872x666_autohomecar__ChxkPWds-a6AK61VAAh-cX-DyRU853.png
MPV,2025-01,09,极狐 考拉,2431,4.59,13.18-16.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M01/9F/4D/872x666_autohomecar__ChxoHWY8dOqAV-6UAAh6Om5S_Gs667.png
MPV,2025-01,10,五菱凯捷,2333,4.44,8.58-14.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M00/FA/53/872x666_autohomecar__ChsEmF8NR-CASmf3AAgzSYhv250002.png
MPV,2025-01,11,别克GL8新能源,1783,4.03,24.99-41.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M08/1E/DF/872x666_autohomecar__CjIFU2fj1eOAFqkFAAcBIe-wCzo205.png
MPV,2025-01,12,奥德赛,1779,4.42,23.58-43.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/08/63/872x666_autohomecar__CjIFU2VwPNKAW9T0AAhR1Ya-qyo429.png
MPV,2025-01,13,传祺E8新能源,1344,4.48,21.68-23.88万,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M00/F3/38/872x666_autohomecar__ChxkmWWFZa2AdKq6AAfJm9TZz4U546.png
MPV,2025-01,14,菱智,1294,4.57,5.99-9.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g18/M0F/7C/48/872x666_autohomecar__ChxksGDr3G2ALw-fAAeoIqh1ciw515.png
MPV,2025-01,15,锐胜王牌M7,1285,4.59,6.18-15.38万,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M02/C5/19/872x666_autohomecar__ChsEbGOPE72APIO6AAhdve5p7go391.png
MPV,2025-01,16,极氪009,1240,4.39,43.90-89.90万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M02/9E/35/872x666_autohomecar__ChtlyGd81IqAMqONAAfbiZsZbko909.png
MPV,2025-01,17,世纪,1085,4.61,46.99-68.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M02/83/6D/872x666_autohomecar__ChsFVWNgjJOANc3LAAjTYIpaoT8446.png
MPV,2025-01,18,传祺M6,936,4.53,11.98-14.58万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M04/B5/CD/872x666_autohomecar__Chtk2WZi3wKABbQiAAfExdNBIT0615.png
MPV,2025-01,19,威然,884,4.58,28.98-40.28万,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M02/42/FF/872x666_autohomecar__ChwFj2IVmHaAZ5c5AE38jTJzm4E750.png
MPV,2025-01,20,瑞风M3,841,4.48,6.58-12.79万,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M07/80/5B/872x666_autohomecar__ChsFJ2JdKKqALuT_AAoduQMuayg002.png
MPV,2025-01,21,库斯途,818,4.52,16.98-22.08万,https://g.autoimg.cn/@img/car3/cardfs/series/g7/M0D/C2/96/872x666_autohomecar__Chxks2FRKKmAe6tbAAZpYZlpdgo013.png
MPV,2025-01,22,理想MEGA,807,4.71,52.98-55.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/07/6C/872x666_autohomecar__ChtlyGgdj7aAHYKBAAabT4lHk2Q899.png
MPV,2025-01,23,艾力绅,802,4.47,27.98-33.18万,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M05/C9/25/872x666_autohomecar__ChwFkmG7-DWAMzDOAAa8oiMaPwY727.png
MPV,2025-01,24,小鹏X9,801,4.54,35.98-41.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/F4/CF/872x666_autohomecar__ChxoHmf-GWKARHdEAAZQyNizeqg737.png
MPV,2025-01,25,奔驰V级,748,4.60,49.68-66.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M00/C1/FE/872x666_autohomecar__ChxkPmb6cTmAKyJrAAtqsSnNPLA651.png
MPV,2025-01,26,大通G50,729,4.56,8.68-12.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/0B/F9/872x666_autohomecar__ChxoHWfGkweAPXwYAAgqy7q2CBg243.png
MPV,2025-01,27,威霆,627,4.29,33.68-38.68万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/97/79/872x666_autohomecar__Chtk2WbNlbaAMjmvAAoBufOC0F4712.png
MPV,2025-01,28,红旗HQ9,623,4.65,34.88-57.88万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M07/F9/98/872x666_autohomecar__ChsFJ2L2d1yABhcWAFrl_ZWn3XQ989.png
MPV,2025-01,29,奔腾NAT,613,4.54,13.98-16.48万,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M08/22/BD/872x666_autohomecar__ChwFkGBzsm6AZTgFAAbrqpTMf5g503.png
MPV,2025-01,30,传祺E9,473,4.54,31.98-40.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M06/F0/AB/872x666_autohomecar__ChxkPmcy6xWAfZEOAAdi0URpA7E069.png
MPV,2025-01,31,魏牌 高山,371,4.56,30.98-35.38万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M03/2E/7B/872x666_autohomecar__ChtlyGfO5bWABmUfAAfsE6XK2v8372.png
MPV,2025-01,32,大通G10,360,4.63,10.80-18.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M01/0B/BE/872x666_autohomecar__ChxoHmfGku2AK12EAAoLeJ9_X7c479.png
MPV,2025-01,33,红旗HQ9 PHEV,304,,35.88-53.88万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/62/B3/872x666_autohomecar__ChxoHmYEzl6ATo_hAAuY0t6l4Bo711.png
MPV,2025-01,34,嘉际,292,4.50,10.97-11.97万,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M05/CC/36/872x666_autohomecar__ChtliGMYQzmAQU44AAiYxfY9lRU035.png
MPV,2025-01,35,瑞风E3,279,4.61,13.99-20.88万,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M02/2F/4F/872x666_autohomecar__ChwFlGJdKIOABYkBAAtSKRdNRu4262.png
MPV,2025-01,36,星海V9,238,4.55,19.99-27.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/14/62/872x666_autohomecar__ChxkPmc0fhaARlKZAAksmPrW3ic124.png
MPV,2025-01,37,大家9,186,4.49,25.99-40.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M08/21/D8/872x666_autohomecar__ChsEdmLCeuOAFO9KAAfv7DneaAs593.png
MPV,2025-01,38,荣威iMAX8新能源,151,4.47,19.99-35.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M09/14/7B/872x666_autohomecar__CjIFVmS1AUmAbSHDAApsq15EKIo792.png
MPV,2025-01,39,睿蓝8,113,4.71,13.78-15.38万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M09/41/0B/872x666_autohomecar__Chtk2Wc2u-mACcgXAArgGHxRSP4970.png
MPV,2025-01,40,翼真L380,112,4.42,29.99-59.99万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/5B/37/872x666_autohomecar__ChtlyGYfKhOAX01dAAhZtiwF0sM637.png
MPV,2025-01,41,风光380,111,4.47,5.28-6.08万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M07/8B/E7/872x666_autohomecar__ChsFJ2JeRwCAaYOwAA0SJv70YEw591.png
MPV,2025-01,42,嘉华,110,4.54,28.99-34.09万,https://g.autoimg.cn/@img/car3/cardfs/series/g4/M00/15/C0/872x666_autohomecar__ChwElmEogVuAAGdNAAjqvq3X8YA451.png
MPV,2025-01,43,极氪MIX,100,4.55,27.99-29.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0B/FC/5B/872x666_autohomecar__Chtk2WcY9juAfUWRAAkhf9BXs-A251.png
MPV,2025-01,44,领途M8,95,4.71,,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0B/23/52/872x666_autohomecar__Chtk2WcN2DaAXsMXAAtiiwG2c50279.png
MPV,2025-01,45,大家7,94,4.58,18.99-25.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M00/A7/B6/872x666_autohomecar__ChtlxmVbCCaAUkpyAAYK3H4RbCU193.png
MPV,2025-01,46,荣威iMAX8,90,4.55,18.58-25.58万,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M07/48/A4/872x666_autohomecar__Chxky2S_feuAcRvsAAjZQV4VlGQ376.png
MPV,2025-01,47,瑞风RF8 PHEV,88,4.53,20.99-36.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M0A/6D/96/872x666_autohomecar__ChtliGWFaAuAC10BAAjq9wxWXqw098.png
MPV,2025-01,48,枫叶80v,83,4.28,8.98-15.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M06/C0/42/872x666_autohomecar__ChwFlGBIi6SASMNJAAjh1F84jOM996.png
MPV,2025-01,49,沃尔沃EM90,83,4.59,,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M00/DA/29/872x666_autohomecar__CjIFV2VTHj-AODFlAAW7xrn6PiQ164.png
MPV,2025-01,50,奔腾M9,74,4.43,22.98-24.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M09/6E/A6/872x666_autohomecar__ChxkmmQULrKALDRwAApkOSQXLbI817.png
