类别,月份,序号,车型,销量,口碑评分,价格区间,图片链接
全部,2025-02,01,星愿,28588,4.54,6.88-9.78万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M06/53/2E/872x666_autohomecar__ChxkPmaRC0iAQhOeAAYbjdYu9X8904.png
全部,2025-02,02,海鸥,26958,4.55,6.98-8.58万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M06/86/A7/872x666_autohomecar__CjIFU2drcTKAVmEvAAbZv39X-1g635.png
全部,2025-02,03,星越L,26632,4.60,14.77-17.97万,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M00/8F/37/872x666_autohomecar__Chxky2PgczuAfLpXAAJkj3KKYDI686.png
全部,2025-02,04,小米SU7,23728,4.42,21.59-29.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M01/11/01/872x666_autohomecar__ChtlxmWNOgOAXXxmAAYLEp-BYmc978.png
全部,2025-02,05,秦PLUS,22978,4.54,7.98-17.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M0B/58/A2/872x666_autohomecar__ChxoHmXVw2qAaWiuAAg1C-bg8-c383.png
全部,2025-02,06,宏光MINIEV,22065,4.36,3.28-9.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M07/9E/26/872x666_autohomecar__ChtlyGd80_mAfpOMAAhzJpfDwJ4816.png
全部,2025-02,07,宋PLUS新能源,19373,4.49,13.58-18.08万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M09/04/73/872x666_autohomecar__ChxknGV4DzSAHG4RAAdLphsVYos293.png
全部,2025-02,08,朗逸,18911,3.64,8.00-15.19万,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M05/9B/74/872x666_autohomecar__ChsEdmORrAGANlQJAAa7V8MDrEY072.png
全部,2025-02,09,Model 3,18771,4.58,23.55-33.95万,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M0A/98/B3/872x666_autohomecar__CjIFU2VuxAiAMliVAAdeidm7fSE232.png
全部,2025-02,10,速腾,18010,4.40,13.99-17.29万,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M03/3E/50/872x666_autohomecar__ChsFVWKW8uaAcpRuAAgV7a04-8A643.png
全部,2025-02,11,秦L,16213,4.59,9.98-15.38万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M06/B3/5F/872x666_autohomecar__ChxoHWeqtnKAOgObAAehH3gnIrM207.png
全部,2025-02,12,帕萨特,15497,4.36,16.45-23.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/F8/B0/872x666_autohomecar__ChxoHmeu6l6AY9ypAAgLX0oHgJ4977.png
全部,2025-02,13,小鹏MONA M03,15312,4.56,11.98-13.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M01/A7/1A/872x666_autohomecar__Chtk2WbOjc6ANKI3AAi5WZUHzQ0191.png
全部,2025-02,14,星瑞,15127,4.49,9.97-13.87万,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M0B/45/23/872x666_autohomecar__ChwFkGLHnQWASIItAAr2nV2S8ZU605.png
全部,2025-02,15,宋Pro新能源,14997,4.45,10.28-14.28万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/44/B1/872x666_autohomecar__CjIFU2V4D2GAd7pCAAhNZPm_6CA520.png
全部,2025-02,16,缤越,14259,4.55,6.68-9.68万,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M01/E9/8B/872x666_autohomecar__ChxkPmdIDKOAAaLPAAd4wTz9VVQ270.png
全部,2025-02,17,轩逸,14078,4.28,10.86-17.49万,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0A/5D/95/872x666_autohomecar__ChtliGSiORGAfxpWAAnUmRB7KTw441.png
全部,2025-02,18,理想L6,13160,4.52,24.98-27.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M09/5A/8C/872x666_autohomecar__Chtk2WgvFLyARrHKAAUPN8FeUIE427.png
全部,2025-02,19,熊猫,12899,4.59,2.99-5.39万,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0B/3F/43/872x666_autohomecar__CjIFV2SiOP6AanH4AArwD9j35Tg115.png
全部,2025-02,20,锋兰达,12760,4.40,12.58-18.48万,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M07/81/EF/872x666_autohomecar__ChwFkmGqJ0eAWaXwAAoASTZZKBE601.png
全部,2025-02,21,长安CS75 PLUS,12616,4.50,11.39-14.99万,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M0B/27/BA/872x666_autohomecar__Chtk2WcOCvSAUfFFAAgnlkskNZs043.png
全部,2025-02,22,海豹06新能源,12613,4.40,9.98-13.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M07/A7/E8/872x666_autohomecar__ChxoHmXAj-GASeHTAAXQ1MwtGlE311.png
全部,2025-02,23,迈腾,12192,4.54,17.49-24.69万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M02/14/C7/872x666_autohomecar__ChxkPWaN6E-ARDBRAAgLwIPxlbo538.png
全部,2025-02,24,RAV4荣放,11584,4.53,16.98-23.88万,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0A/BC/08/872x666_autohomecar__ChsEmF2NaRqABUqTAAe4Ejo3j6M483.png
