类别,月份,排名,车型,销量,口碑评分,价格区间
新能源,2025-01,01,星愿,28146,4.54,6.88-9.78万
新能源,2025-01,02,Model Y,25694,4.40,26.35-31.35万
新能源,2025-01,03,宏光MINIEV,24924,4.45,3.28-9.99万
新能源,2025-01,04,小米SU7,22897,4.42,21.59-29.99万
新能源,2025-01,05,银河星舰7 EM-i,20328,4.48,9.78-13.08万
新能源,2025-01,06,宋PLUS新能源,20138,4.48,13.58-18.08万
新能源,2025-01,07,秦PLUS,19735,4.48,7.98-17.98万
新能源,2025-01,08,海鸥,18171,4.52,6.98-8.58万
新能源,2025-01,09,秦L,16047,4.60,9.98-15.38万
新能源,2025-01,10,熊猫,15932,4.59,2.99-5.39万
新能源,2025-01,11,宋Pro新能源,15698,4.45,10.28-14.28万
新能源,2025-01,12,小鹏MONA M03,15225,4.56,11.98-13.98万
新能源,2025-01,13,海豹06新能源,14492,4.43,9.98-13.98万
新能源,2025-01,14,理想L6,13990,4.52,24.98-27.98万
新能源,2025-01,15,汉,13484,4.42,16.58-25.98万
新能源,2025-01,16,银河E5,12880,4.52,10.78-14.38万
新能源,2025-01,17,问界M9,12483,4.66,46.98-56.98万
新能源,2025-01,18,五菱缤果,12130,4.49,5.68-8.48万
新能源,2025-01,19,智界R7,11422,4.55,24.98-33.98万
新能源,2025-01,20,宋L DM-i,10689,4.43,13.58-17.58万
新能源,2025-01,21,腾势D9,10026,4.53,33.98-60.06万
新能源,2025-01,22,驱逐舰05,9945,4.52,7.98-13.68万
新能源,2025-01,23,元PLUS,8902,4.52,11.58-14.78万
新能源,2025-01,24,问界M7,8443,4.55,24.98-32.98万
新能源,2025-01,25,小鹏P7+,8114,4.53,18.68-20.88万
新能源,2025-01,26,Model 3,8009,4.58,23.55-33.95万
新能源,2025-01,27,长安Lumin,7861,4.53,3.79-6.59万
新能源,2025-01,28,银河L7,7630,4.45,11.58-16.97万
新能源,2025-01,29,长安UNI-Z新能源,6877,4.43,11.79-13.39万
新能源,2025-01,30,唐新能源,6650,4.46,17.98-26.98万
新能源,2025-01,31,理想L7,6493,4.56,30.18-35.98万
新能源,2025-01,32,iCAR V23,6397,4.60,10.98-14.98万
新能源,2025-01,33,领克Z20,6368,4.51,13.59-15.09万
新能源,2025-01,34,零跑C10,6358,4.54,12.28-16.88万
新能源,2025-01,35,岚图梦想家,6071,4.54,32.99-44.99万
新能源,2025-01,36,元UP,6050,4.46,9.68-11.98万
新能源,2025-01,37,零跑C11,5948,4.48,14.88-20.98万
新能源,2025-01,38,乐道L60,5912,4.53,20.69-25.59万
新能源,2025-01,39,深蓝S07,5604,4.49,15.99-19.79万
新能源,2025-01,40,捷途山海T2,5433,4.55,17.99-23.99万
新能源,2025-01,41,奔腾小马,5316,4.50,2.49-5.39万
新能源,2025-01,42,零跑C16,5261,4.55,15.18-18.98万
新能源,2025-01,43,哈弗猛龙新能源,5043,4.55,16.58-19.28万
新能源,2025-01,44,坦克500新能源,4959,4.60,33.50-36.38万
新能源,2025-01,45,AION Y,4851,4.59,9.98-14.58万
新能源,2025-01,46,阿维塔07,4731,4.52,21.99-28.99万
新能源,2025-01,47,海豚,4655,4.53,9.98-12.98万
新能源,2025-01,48,深蓝S05,4645,4.48,11.99-14.59万
新能源,2025-01,49,银河L6,4526,4.61,7.98-10.68万
新能源,2025-01,50,零跑T03,4519,4.60,5.99-6.99万
