类别,月份,序号,车型,销量,口碑评分,价格区间,图片链接
轿车,2025-01,01,星愿,28146,4.54,6.88-9.78万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M06/53/2E/872x666_autohomecar__ChxkPmaRC0iAQhOeAAYbjdYu9X8904.png
轿车,2025-01,02,速腾,25745,4.39,13.99-17.29万,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M03/3E/50/872x666_autohomecar__ChsFVWKW8uaAcpRuAAgV7a04-8A643.png
轿车,2025-01,03,帕萨特,25411,4.40,16.45-23.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/F8/B0/872x666_autohomecar__ChxoHmeu6l6AY9ypAAgLX0oHgJ4977.png
轿车,2025-01,04,宏光MINIEV,24924,4.45,3.28-9.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M07/9E/26/872x666_autohomecar__ChtlyGd80_mAfpOMAAhzJpfDwJ4816.png
轿车,2025-01,05,轩逸,23959,4.38,10.86-17.49万,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0A/5D/95/872x666_autohomecar__ChtliGSiORGAfxpWAAnUmRB7KTw441.png
轿车,2025-01,06,朗逸,23863,3.64,8.00-15.19万,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M05/9B/74/872x666_autohomecar__ChsEdmORrAGANlQJAAa7V8MDrEY072.png
轿车,2025-01,07,星瑞,23294,4.49,9.97-13.87万,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M0B/45/23/872x666_autohomecar__ChwFkGLHnQWASIItAAr2nV2S8ZU605.png
轿车,2025-01,08,小米SU7,22897,4.42,21.59-29.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M01/11/01/872x666_autohomecar__ChtlxmWNOgOAXXxmAAYLEp-BYmc978.png
轿车,2025-01,09,秦PLUS,19735,4.48,7.98-17.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M0B/58/A2/872x666_autohomecar__ChxoHmXVw2qAaWiuAAg1C-bg8-c383.png
轿车,2025-01,10,奥迪A6L,19710,4.53,42.79-65.68万,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M04/E1/B4/872x666_autohomecar__ChxkmWLrMY-AS6aWAAfmdU71qeo540.png
轿车,2025-01,11,海鸥,18171,4.52,6.98-8.58万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M06/86/A7/872x666_autohomecar__CjIFU2drcTKAVmEvAAbZv39X-1g635.png
轿车,2025-01,12,红旗H5,17627,4.49,15.98-22.58万,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M08/FE/7B/872x666_autohomecar__ChxkjmS_m_2AJT-eAAgFleAqYOQ278.png
轿车,2025-01,13,帝豪,17508,4.53,6.29-14.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M08/B8/EA/872x666_autohomecar__ChwFjmC0T3iAcFpaAAiSBmLlIAw263.png
轿车,2025-01,14,逸动,17013,4.57,7.29-9.69万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M04/B3/25/872x666_autohomecar__ChxoHmX7qFeAB57VAAX0YR3-sPI742.png
轿车,2025-01,15,雅阁,16763,4.51,17.98-23.88万,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M09/D3/BD/872x666_autohomecar__ChxkPWhBaSmASfSsAD1LzjP0Dkk028.png
轿车,2025-01,16,迈腾,16247,4.61,17.49-24.69万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M02/14/C7/872x666_autohomecar__ChxkPWaN6E-ARDBRAAgLwIPxlbo538.png
轿车,2025-01,17,艾瑞泽8,16195,4.34,9.99-14.89万,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M0A/E2/BC/872x666_autohomecar__ChxkqWTcNJWAeHfFAAmiCW4E1Yg384.png
轿车,2025-01,18,秦L,16047,4.60,9.98-15.38万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M06/B3/5F/872x666_autohomecar__ChxoHWeqtnKAOgObAAehH3gnIrM207.png
轿车,2025-01,19,熊猫,15932,4.59,2.99-5.39万,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0B/3F/43/872x666_autohomecar__CjIFV2SiOP6AanH4AArwD9j35Tg115.png
轿车,2025-01,20,凯美瑞,15696,4.37,17.18-25.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M06/81/DE/872x666_autohomecar__ChtlxmVXB2-AE8MkAAJwaX9zvaU302.png
轿车,2025-01,21,小鹏MONA M03,15225,4.56,11.98-13.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M01/A7/1A/872x666_autohomecar__Chtk2WbOjc6ANKI3AAi5WZUHzQ0191.png
轿车,2025-01,22,海豹06新能源,14492,4.43,9.98-13.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M07/A7/E8/872x666_autohomecar__ChxoHmXAj-GASeHTAAXQ1MwtGlE311.png
轿车,2025-01,23,宝马3系,14075,4.51,31.99-39.99万,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M03/EE/48/872x666_autohomecar__Chtk2Wc-0A2AGKUSAAfb3s50zos139.png
轿车,2025-01,24,汉,13484,4.42,16.58-25.98万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M05/18/E7/872x666_autohomecar__ChsFJ2JSj76AcuOOAAg0TVWXz0E905.png
轿车,2025-01,25,五菱缤果,12130,4.49,5.68-8.48万,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/04/D8/872x666_autohomecar__ChxknGV4EEGAdC_6AAfVjvUbzRc807.png
轿车,2025-01,26,奔驰E级,12100,4.43,45.18-59.98万,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M04/25/71/872x666_autohomecar__Chtlx2UwlmOAMM84AAIto3o2R6g442.png
轿车,2025-01,27,宝马5系,10625,4.51,43.99-52.59万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/57/13/872x666_autohomecar__ChxknGf_lfOAf1dkAAczVMnc0iE689.png
轿车,2025-01,28,卡罗拉,10530,3.86,11.68-15.58万,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M05/37/BB/872x666_autohomecar__ChxkjmRrD5aASghZAAVS-h3458E194.png
轿车,2025-01,29,奔驰C级,10089,4.48,33.48-38.06万,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/DC/30/872x666_autohomecar__ChsEoGEZx5uAaw2TAAoJpgDJbI8230.png
轿车,2025-01,30,驱逐舰05,9945,4.52,7.98-13.68万,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M08/35/2F/872x666_autohomecar__ChxoHmW4yg6ABc33AAYuGIYuF_g057.png
轿车,2025-01,31,思域,9155,4.47,12.99-18.79万,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M04/9A/F7/872x666_autohomecar__ChwFjmE4cjOADLMOAAgDnu-0T0o497.png
轿车,2025-01,32,奥迪A4L,8955,4.54,28.98-36.28万,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M07/BF/A5/872x666_autohomecar__ChsEl16BXKSAFuONAAkKdw4QUKI580.png
