类别,月份,排名,车型,销量,口碑评分,价格区间
轿车,2025-04,01,星愿,36119,4.54,6.88-9.78万
轿车,2025-04,02,海鸥,34005,4.52,6.98-8.58万
轿车,2025-04,03,宏光MINIEV,28990,4.45,3.28-9.99万
轿车,2025-04,04,小米SU7,28585,4.42,21.59-29.99万
轿车,2025-04,05,秦PLUS,25557,4.48,7.98-17.98万
轿车,2025-04,06,轩逸,24458,4.38,10.86-17.49万
轿车,2025-04,07,秦L,24394,4.60,9.98-15.38万
轿车,2025-04,08,朗逸,21971,3.64,8.00-15.19万
轿车,2025-04,09,熊猫,17831,4.59,2.99-5.39万
轿车,2025-04,10,帕萨特,17411,4.40,16.45-23.99万
轿车,2025-04,11,迈腾,17104,4.61,17.49-24.69万
轿车,2025-04,12,速腾,16833,4.39,13.99-17.29万
轿车,2025-04,13,凯美瑞,16217,4.37,17.18-25.98万
轿车,2025-04,14,星瑞,14774,4.49,9.97-13.87万
轿车,2025-04,15,小鹏MONA M03,14210,4.56,11.98-13.98万
轿车,2025-04,16,海豹06新能源,14024,4.43,9.98-13.98万
轿车,2025-04,17,宝马3系,12754,4.51,31.99-39.99万
轿车,2025-04,18,红旗H5,12695,4.49,15.98-22.58万
轿车,2025-04,19,长安Lumin,12667,4.53,3.79-6.59万
轿车,2025-04,20,帝豪,11929,4.53,6.29-14.98万
轿车,2025-04,21,汉,11651,4.42,16.58-25.98万
轿车,2025-04,22,五菱缤果,11582,4.49,5.68-8.48万
轿车,2025-04,23,逸动,11542,4.57,7.29-9.69万
轿车,2025-04,24,奔驰C级,11504,4.48,33.48-38.06万
轿车,2025-04,25,奥迪A6L,11000,4.53,42.79-65.68万
轿车,2025-04,26,奔驰E级,10400,4.43,45.18-59.98万
轿车,2025-04,27,艾瑞泽8,9748,4.34,9.99-14.89万
轿车,2025-04,28,宝马5系,9688,4.51,43.99-52.59万
轿车,2025-04,29,亚洲龙,9509,4.42,17.88-25.68万
轿车,2025-04,30,海豚,9326,4.53,9.98-12.98万
轿车,2025-04,31,雅阁,9208,4.51,17.98-23.88万
轿车,2025-04,32,Model 3,8747,4.58,23.55-33.95万
轿车,2025-04,33,银河L6,7836,4.61,7.98-10.68万
轿车,2025-04,34,小鹏P7+,7391,4.53,18.68-20.88万
轿车,2025-04,35,卡罗拉,7334,3.86,11.68-15.58万
轿车,2025-04,36,MG5,6779,4.52,6.79-9.99万
轿车,2025-04,37,宝来,6192,4.23,11.29-14.39万
轿车,2025-04,38,荣威i5,6132,4.14,6.89-9.09万
轿车,2025-04,39,蔚来ET5T,6015,4.37,29.80-35.60万
轿车,2025-04,40,驱逐舰05,5991,4.52,7.98-13.68万
轿车,2025-04,41,AION S,5977,4.47,13.98-14.68万
轿车,2025-04,42,领克03,5793,4.45,12.78-42.03万
轿车,2025-04,43,零跑T03,5458,4.60,5.99-6.99万
轿车,2025-04,44,奥迪A4L,5414,4.54,28.98-36.28万
轿车,2025-04,45,伊兰特,5180,4.49,9.98-14.98万
轿车,2025-04,46,奔腾小马,5095,4.50,2.49-5.39万
轿车,2025-04,47,阿维塔06,4965,4.57,20.99-27.99万
轿车,2025-04,48,红旗E-QM5,4744,4.58,12.18-23.98万
轿车,2025-04,49,奥迪A3,4656,4.48,16.59-20.99万
轿车,2025-04,50,AION RT,4590,4.57,11.98-16.58万
