类别,月份,排名,车型,销量,口碑评分,价格区间
MPV,2025-03,01,腾势D9,9326,4.53,33.98-60.06万
MPV,2025-03,02,赛那SIENNA,8385,4.52,29.98-41.08万
MPV,2025-03,03,岚图梦想家,6508,4.54,32.99-44.99万
MPV,2025-03,04,格瑞维亚,6120,4.45,29.98-41.68万
MPV,2025-03,05,别克GL8,6101,4.59,22.99-36.99万
MPV,2025-03,06,传祺M8,3827,4.47,17.98-34.28万
MPV,2025-03,07,极狐 考拉,3307,4.59,13.18-16.98万
MPV,2025-03,08,极氪009,3157,4.39,43.90-89.90万
MPV,2025-03,09,夏,2961,4.41,24.98-30.98万
MPV,2025-03,10,传祺M6,2896,4.53,11.98-14.58万
MPV,2025-03,11,传祺E8新能源,2448,4.48,21.68-23.88万
MPV,2025-03,12,奥德赛,2048,4.42,23.58-43.98万
MPV,2025-03,13,五菱佳辰,1829,4.00,6.88-11.58万
MPV,2025-03,14,菱智,1675,4.57,5.99-9.99万
MPV,2025-03,15,别克GL8新能源,1664,4.03,24.99-41.99万
MPV,2025-03,16,威然,1572,4.58,28.98-40.28万
MPV,2025-03,17,锐胜王牌M7,1304,4.59,6.18-15.38万
MPV,2025-03,18,库斯途,1123,4.52,16.98-22.08万
MPV,2025-03,19,小鹏X9,1021,4.54,35.98-41.98万
MPV,2025-03,20,瑞风M3,1014,4.48,6.58-12.79万
MPV,2025-03,21,奔驰V级,980,4.60,49.68-66.98万
MPV,2025-03,22,威霆,919,4.29,33.68-38.68万
MPV,2025-03,23,理想MEGA,916,4.71,52.98-55.98万
MPV,2025-03,24,大通G50,890,4.56,8.68-12.98万
MPV,2025-03,25,艾力绅,845,4.47,27.98-33.18万
MPV,2025-03,26,世纪,731,4.61,46.99-68.99万
MPV,2025-03,27,奔腾NAT,566,4.54,13.98-16.48万
MPV,2025-03,28,比亚迪e6,465,4.23,
MPV,2025-03,29,传祺E9,424,4.54,31.98-40.98万
MPV,2025-03,30,魏牌 高山,402,4.56,30.98-35.38万
MPV,2025-03,31,五菱征程,350,4.43,6.98-9.08万
MPV,2025-03,32,大家9,348,4.49,25.99-40.99万
MPV,2025-03,33,荣威iMAX8新能源,345,4.47,19.99-35.98万
MPV,2025-03,34,红旗HQ9 PHEV,332,,35.88-53.88万
MPV,2025-03,35,大通G10,328,4.63,10.80-18.98万
MPV,2025-03,36,星海V9,318,4.55,19.99-27.99万
MPV,2025-03,37,红旗HQ9,221,4.65,34.88-57.88万
MPV,2025-03,38,风光380,219,4.47,5.28-6.08万
MPV,2025-03,39,极氪MIX,162,4.55,27.99-29.99万
MPV,2025-03,40,荣威iMAX8,156,4.55,18.58-25.58万
MPV,2025-03,41,瑞风E3,151,4.61,13.99-20.88万
MPV,2025-03,42,翼真L380,150,4.42,29.99-59.99万
MPV,2025-03,43,大通G50插电混动,129,4.55,13.98-14.98万
MPV,2025-03,44,嘉华,127,4.54,28.99-34.09万
MPV,2025-03,45,菱智新能源,111,4.57,10.98-19.69万
MPV,2025-03,46,大家7,104,4.58,18.99-25.98万
MPV,2025-03,47,睿蓝8,102,4.71,13.78-15.38万
MPV,2025-03,48,领途E-M8,87,,14.18-17.28万
MPV,2025-03,49,途睿欧,82,4.55,21.96-26.00万
MPV,2025-03,50,途安,62,4.49,16.68-19.58万
