排名,车系,销量
1,腾势D9,8686
2,赛那SIENNA,8476
3,别克GL8新能源,7391
4,岚图梦想家,6540
5,格瑞维亚,6137
6,传祺M8,4999
7,别克GL8,4997
8,极狐 考拉,3256
9,小鹏X9,2767
10,夏,2611
11,传祺E8新能源,2276
12,魏牌 高山,2254
13,奥德赛,1949
14,菱智,1768
15,锐胜王牌M7,1535
16,五菱佳辰,1504
17,库斯途,1302
18,极氪009,1290
19,传祺M6,1259
20,理想MEGA,994
21,奔驰V级,954
22,威霆,932
23,威然,751
24,艾力绅,695
25,世纪,667
26,瑞风M3,621
27,大通G50,606
28,星海V9,498
29,极氪MIX,346
30,荣威iMAX8新能源,305
31,传祺E9,272
32,红旗HQ9 PHEV,272
33,大通G10,268
34,红旗HQ9,256
35,五菱征程,254
36,瑞风E3,237
37,奔腾NAT,220
38,大通G50插电混动,217
39,风光380,158
40,大家7,154
41,嘉华,139
42,菱智新能源,102
43,领途E-M8,87
44,比亚迪D1,78
45,途睿欧,77
46,大家9,72
47,翼真L380,68
48,荣威iMAX8,63
49,大通G90,57
50,比亚迪e6,54
51,瑞风RF8 PHEV,52
52,途安,45
53,嘉际,40
54,大家5,39
55,沃尔沃EM90,23
56,瑞风RF8,19
57,大通G70,18
58,风行游艇,17
59,睿蓝8,12
60,合创V09,9
61,奔腾M9,6
62,海马7X,5
63,枫叶80v,3
64,海马7X新能源,3
