排名,车名,销量,月份
01,星愿,36119,04
02,海鸥,34005,04
03,宏光MINIEV,28990,04
04,小米SU7,28585,04
05,秦PLUS,25557,04
06,轩逸,24458,04
07,秦L,24394,04
08,星越L,23658,04
09,朗逸,21971,04
10,宋PLUS新能源,20668,04
11,Model Y,19984,04
12,熊猫,17831,04
13,帕萨特,17411,04
14,迈腾,17104,04
15,速腾,16833,04
16,理想L6,16755,04
17,凯美瑞,16217,04
18,卡罗拉锐放,16072,04
19,RAV4荣放,15446,04
20,星瑞,14774,04
21,宋Pro新能源,14263,04
22,博越L,14230,04
23,小鹏MONA M03,14210,04
24,海豹06新能源,14024,04
25,途观L,13671,04
26,宝马3系,12754,04
27,红旗H5,12695,04
28,长安Lumin,12667,04
29,本田CR-V,12400,04
30,元PLUS,12286,04
31,瑞虎8,12264,04
32,锋兰达,11969,04
33,帝豪,11929,04
34,汉,11651,04
35,五菱缤果,11582,04
36,哈弗大狗,11573,04
37,逸动,11542,04
38,奔驰C级,11504,04
39,缤越,11438,04
40,银河星舰7 EM-i,11114,04
41,奥迪A6L,11000,04
42,探岳,10772,04
43,长安CS75 PLUS,10729,04
44,途岳,10623,04
45,问界M9,10407,04
46,奔驰E级,10400,04
47,宋L DM-i,10362,04
48,元UP,9942,04
49,银河E5,9792,04
50,艾瑞泽8,9748,04
51,宝马5系,9688,04
52,亚洲龙,9509,04
53,昂科威Plus,9451,04
54,零跑C11,9431,04
55,海豚,9326,04
56,雅阁,9208,04
57,哈弗H6,9178,04
58,奥迪Q5L,9082,04
59,腾势D9,9045,04
60,海狮05 EV,8971,04
61,奔驰GLC,8807,04
62,Model 3,8747,04
63,赛那SIENNA,8248,04
64,威兰达,8228,04
65,皓影,8191,04
66,理想L7,8102,04
67,银河L6,7836,04
68,深蓝S05,7549,04
69,长安X5 PLUS,7447,04
70,小鹏P7+,7391,04
71,AION Y,7364,04
72,卡罗拉,7334,04
73,零跑C10,7256,04
74,逍客,7121,04
75,蔚来ES6,6866,04
76,MG5,6779,04
77,捷途自由者,6742,04
78,铂智3X,6727,04
79,岚图梦想家,6719,04
80,格瑞维亚,6651,04
81,五菱宏光V,6643,04
82,红旗HS5,6541,04
83,五菱宏光,6501,04
84,唐新能源,6269,04
85,领克Z20,6238,04
86,宝来,6192,04
87,荣威i5,6132,04
88,蔚来ET5T,6015,04
89,驱逐舰05,5991,04
90,AION S,5977,04
91,捷途X70,5943,04
92,沃尔沃XC60,5876,04
93,领克03,5793,04
94,哈弗猛龙新能源,5608,04
95,别克GL8,5590,04
96,长安CS55PLUS,5514,04
97,长安UNI-Z新能源,5511,04
98,小鹏G6,5485,04
99,零跑T03,5458,04
100,奥迪A4L,5414,04
101,宝马X5,5379,04
102,深蓝S07,5369,04
103,T-ROC探歌,5245,04
104,唐L,5229,04
105,坦克300,5202,04
106,伊兰特,5180,04
107,理想L8,5178,04
108,零跑C16,5173,04
109,汉兰达,5137,04
110,皇冠陆放,5130,04
111,奔腾小马,5095,04
112,智界R7,5092,04
113,传祺GS3,5069,04
114,北京越野BJ40,5051,04
115,腾势N9,5018,04
116,阿维塔06,4965,04
117,豹5,4853,04
118,红旗E-QM5,4744,04
119,奥迪A3,4656,04
120,捷途旅行者,4639,04
121,银河L7,4594,04
122,瑞虎5x,4591,04
123,AION RT,4590,04
124,长安启源A07,4464,04
125,海豹06GT,4452,04
126,纳米01,4408,04
127,极氪7X,4401,04
128,乐道L60,4400,04
129,传祺M8,4346,04
130,AION UT,4337,04
131,五菱宏光新能源,4329,04
132,天籁,4295,04
133,君威,4269,04
134,问界M5,4219,04
135,君越,4149,04
136,大众ID.3,4098,04
137,哈弗枭龙MAX,4069,04
138,领克06,4062,04
139,问界M7,4051,04
140,极氪007,3999,04
141,风云T9,3992,04
142,凯迪拉克CT5,3965,04
143,风神L7,3881,04
144,夏,3863,04
145,别克GL8新能源,3842,04
146,魏牌 蓝山,3835,04
147,理想L9,3801,04
148,宝马X1,3797,04
149,捷达VS5,3775,04
150,高尔夫,3701,04
151,瑞虎7,3561,04
152,荣威D7,3529,04
153,蒙迪欧,3512,04
154,iCAR V23,3506,04
155,汉L,3505,04
156,阿维塔07,3497,04
157,海豹05 DM-i,3485,04
158,坦克300新能源,3398,04
159,海狮05 DM-i,3334,04
160,海狮07 EV,3317,04
161,智己LS6,3278,04
162,QQ冰淇淋,3170,04
163,捷达VA3,3168,04
164,长安UNI-V,3159,04
165,极狐 阿尔法S5,3159,04
166,江豚,3146,04
167,新海狮X30L CNG,3144,04
168,坦克500新能源,3132,04
169,长安启源Q07,3119,04
170,标致408,3113,04
171,北京越野BJ30,3106,04
172,途昂,3059,04
173,AION V,3049,04
174,钛3,3048,04
175,坦克400新能源,3043,04
176,思域,3014,04
177,传祺向往S7,2977,04
178,凯迪拉克XT5,2936,04
179,瑞虎9,2885,04
180,星纪元 ES,2879,04
181,雷凌,2771,04
182,英仕派,2757,04
183,宝马X3,2742,04
184,传祺E8新能源,2655,04
185,ID.4 CROZZ,2653,04
186,五菱之光新能源,2651,04
187,领克08 EM-P,2627,04
188,小鹏G9,2625,04
189,领克900,2625,04
190,五菱之光,2589,04
191,锐界,2586,04
192,五菱星光S,2457,04
193,蔚来EC6,2437,04
194,途铠,2417,04
195,五菱星光,2404,04
196,丰田bZ3,2402,04
197,五菱缤果PLUS,2395,04
198,五菱荣光,2384,04
199,极狐 阿尔法T5,2374,04
200,奥迪Q3,2359,04
201,揽巡,2343,04
202,宝马i3,2312,04
203,岚图FREE,2279,04
204,深蓝G318,2273,04
205,瑞虎3x,2252,04
206,银河E8,2245,04
207,iCAR 03,2185,04
208,极氪001,2174,04
209,红旗HS3,2172,04
210,豹8,2138,04
211,长安启源Q05,2136,04
212,马自达CX-5,2110,04
213,深蓝L07,2102,04
214,普拉多,2087,04
215,凌渡,2079,04
216,海豹07 DM-i,2070,04
217,小蚂蚁,2069,04
218,奕跑,2058,04
219,长安X7 PLUS,2046,04
220,eπ008,2040,04
221,秦新能源,2038,04
222,蔚来ET5,2015,04
223,奇骏,1986,04
224,ID.4 X,1900,04
225,奥迪A7L,1900,04
226,捷途山海T2,1884,04
227,问界M8,1883,04
228,凡尔赛C5 X,1866,04
229,睿蓝汽车X3 PRO,1852,04
230,蓝电E5,1840,04
231,奕炫,1823,04
232,沃尔沃S60,1814,04
233,宋L EV,1812,04
234,曹操60,1800,04
235,极狐 考拉,1779,04
236,阿维塔12,1777,04
237,金海狮,1772,04
238,奥德赛,1740,04
239,eπ007,1729,04
240,红旗HS3 PHEV,1728,04
241,奔驰GLB,1700,04
242,长安CS35PLUS,1652,04
243,皓瀚,1606,04
244,星纪元 ET,1589,04
245,荣威RX5,1561,04
246,宝马iX3,1540,04
247,捷途山海T1,1537,04
248,银河星耀8,1535,04
249,吉利几何A,1528,04
250,极氪009,1527,04
251,长安启源A05,1520,04
252,MG7,1519,04
253,哈弗H5,1504,04
254,小鹏X9,1502,04
255,奔驰A级,1460,04
256,威朗,1454,04
257,菱智,1450,04
258,小麒麟,1430,04
259,红旗H6,1428,04
260,捷途大圣,1427,04
261,奔腾B70,1419,04
262,领克01,1411,04
263,五菱佳辰,1405,04
264,风云A8,1395,04
265,一汽-大众CC,1392,04
266,赛图斯,1383,04
267,212 T01,1367,04
268,马自达EZ-6,1360,04
269,北汽新能源EU,1356,04
270,库斯途,1347,04
271,smart精灵#1,1344,04
272,索纳塔,1341,04
273,享界S9,1338,04
274,吉利ICON,1335,04
275,沃尔沃S90,1310,04
276,传祺M6,1304,04
277,传祺GS8,1284,04
278,锐胜王牌M7,1275,04
279,途胜,1274,04
280,哈弗H9,1270,04
281,航海家,1249,04
282,捷途X90,1222,04
283,欧诺S,1210,04
284,捷达VS7,1192,04
285,马自达3 昂克赛拉,1191,04
286,风云T8,1168,04
287,宝马iX1,1156,04
288,比亚迪e2,1149,04
289,领克07 EM-P,1137,04
290,枫叶60s,1122,04
291,缤瑞,1117,04
292,传祺GS4,1111,04
293,探险者,1099,04
294,启辰VX6,1095,04
295,长安之星,1094,04
296,艾瑞泽5,1070,04
297,极石01,1059,04
298,科鲁泽,1057,04
299,领睿,1035,04
300,奔驰V级,1023,04
301,零跑C01,999,04
302,宝骏云海,991,04
303,皓极,990,04
304,狮铂拓界,959,04
305,深蓝SL03,958,04
306,型格,956,04
307,智己L6,948,04
308,海豹,910,04
309,北京X7,901,04
310,威然,899,04
311,揽境,893,04
312,逸动新能源,887,04
313,探陆,848,04
314,深蓝S09,848,04
315,星途凌云,835,04
316,宝骏悦也Plus,819,04
317,新海狮EV,812,04
318,瑞虎9 C-DM,812,04
319,蔚来ET9,810,04
320,锐际,803,04
321,荣威i6 MAX新能源,800,04
322,欧拉好猫,798,04
323,艾力绅,794,04
324,福特烈马,792,04
325,影豹,777,04
326,威霆,776,04
327,别克E5,772,04
328,知豆彩虹,758,04
329,凯翼昆仑,752,04
330,世纪,752,04
331,奥迪Q6,750,04
332,悦意03,749,04
333,捷途山海L7,748,04
334,星海S7,745,04
335,宝马2系,740,04
336,领克09,727,04
337,捷途山海L9,720,04
338,红旗EH7,706,04
339,腾势Z9GT,706,04
340,岚图知音,697,04
341,揽胜极光,695,04
342,宝马i5,680,04
343,起亚K3,666,04
344,沃尔沃XC60插电式混动,665,04
345,日产N7,665,04
346,坦克400,657,04
347,星途揽月C-DM,653,04
348,领克Z10,651,04
349,冒险家,650,04
350,昊铂HT,642,04
351,瑞风M3,640,04
352,宝骏悦也,628,04
353,MG ES5,624,04
354,大通G50,623,04
355,北京现代ix35,615,04
356,ID.6 CROZZ,615,04
357,红旗H5 PHEV,613,04
358,凯翼拾月,608,04
359,电动MINI COOPER,604,04
360,SWM斯威G01,594,04
361,奔腾NAT,585,04
362,骐达TIIDA,583,04
363,林肯Z,581,04
364,智界S7,565,04
365,发现运动,564,04
366,飞度,555,04
367,红旗H9,551,04
368,长安UNI-K,549,04
369,蔚来ES8,539,04
370,福瑞迪,525,04
371,奥迪Q4 e-tron,521,04
372,豪越L,518,04
373,索奈,518,04
374,威飒,517,04
375,红旗HS7 PHEV,512,04
376,五菱星驰,509,04
377,奔驰GLA,500,04
378,冠道,500,04
379,速派,496,04
380,凌宝BOX,496,04
381,缤智,482,04
382,微蓝6,462,04
383,奥迪Q5 e-tron,450,04
384,坦克700新能源,450,04
