类别,月份,排名,车型,销量,口碑评分,价格区间
新能源,2025-03,01,Model Y,48189,4.40,26.35-31.35万
新能源,2025-03,02,宏光MINIEV,39957,4.45,3.28-9.99万
新能源,2025-03,03,海鸥,33965,4.52,6.98-8.58万
新能源,2025-03,04,星愿,32481,4.54,6.88-9.78万
新能源,2025-03,05,小米SU7,29244,4.42,21.59-29.99万
新能源,2025-03,06,秦PLUS,27387,4.48,7.98-17.98万
新能源,2025-03,07,宋PLUS新能源,26092,4.48,13.58-18.08万
新能源,2025-03,08,Model 3,25938,4.58,23.55-33.95万
新能源,2025-03,09,秦L,21671,4.60,9.98-15.38万
新能源,2025-03,10,宋Pro新能源,20847,4.45,10.28-14.28万
新能源,2025-03,11,元PLUS,20179,4.52,11.58-14.78万
新能源,2025-03,12,理想L6,17197,4.52,24.98-27.98万
新能源,2025-03,13,元UP,17177,4.46,9.68-11.98万
新能源,2025-03,14,海豹06新能源,17126,4.43,9.98-13.98万
新能源,2025-03,15,小鹏MONA M03,16593,4.56,11.98-13.98万
新能源,2025-03,16,五菱缤果,15935,4.49,5.68-8.48万
新能源,2025-03,17,汉,15655,4.42,16.58-25.98万
新能源,2025-03,18,长安Lumin,15425,4.53,3.79-6.59万
新能源,2025-03,19,熊猫,13961,4.59,2.99-5.39万
新能源,2025-03,20,银河星舰7 EM-i,11888,4.48,9.78-13.08万
新能源,2025-03,21,海豚,11477,4.53,9.98-12.98万
新能源,2025-03,22,宋L DM-i,11387,4.43,13.58-17.58万
新能源,2025-03,23,银河E5,10077,4.52,10.78-14.38万
新能源,2025-03,24,零跑C10,10052,4.54,12.28-16.88万
新能源,2025-03,25,腾势D9,9326,4.53,33.98-60.06万
新能源,2025-03,26,AION Y,9303,4.59,9.98-14.58万
新能源,2025-03,27,奔腾小马,8776,4.50,2.49-5.39万
新能源,2025-03,28,理想L7,8707,4.56,30.18-35.98万
新能源,2025-03,29,小鹏P7+,8545,4.53,18.68-20.88万
新能源,2025-03,30,智界R7,8520,4.55,24.98-33.98万
新能源,2025-03,31,驱逐舰05,8135,4.52,7.98-13.68万
新能源,2025-03,32,银河L6,8027,4.61,7.98-10.68万
新能源,2025-03,33,海豹06GT,7755,4.46,13.68-18.68万
新能源,2025-03,34,零跑C11,7710,4.48,14.88-20.98万
新能源,2025-03,35,AION S,7532,4.47,13.98-14.68万
新能源,2025-03,36,唐新能源,7351,4.46,17.98-26.98万
新能源,2025-03,37,深蓝S05,7130,4.48,11.99-14.59万
新能源,2025-03,38,长安启源A07,7078,4.54,11.99-15.99万
新能源,2025-03,39,零跑T03,6851,4.60,5.99-6.99万
新能源,2025-03,40,问界M7,6512,4.55,24.98-32.98万
新能源,2025-03,41,岚图梦想家,6508,4.54,32.99-44.99万
新能源,2025-03,42,阿维塔07,6047,4.52,21.99-28.99万
新能源,2025-03,43,豹5,6036,4.48,23.98-32.98万
新能源,2025-03,44,AION RT,5925,4.57,11.98-16.58万
新能源,2025-03,45,深蓝S07,5914,4.49,15.99-19.79万
新能源,2025-03,46,领克Z20,5696,4.51,13.59-15.09万
新能源,2025-03,47,长安UNI-Z新能源,5641,4.43,11.79-13.39万
新能源,2025-03,48,大众ID.3,5601,4.00,12.99-15.59万
新能源,2025-03,49,哈弗猛龙新能源,5565,4.55,16.58-19.28万
新能源,2025-03,50,极氪7X,5478,4.54,22.99-26.99万
