类别,月份,排名,车型,销量,口碑评分,价格区间
轿车,2025-02,01,星愿,28588,4.54,6.88-9.78万
轿车,2025-02,02,海鸥,26958,4.52,6.98-8.58万
轿车,2025-02,03,小米SU7,23728,4.42,21.59-29.99万
轿车,2025-02,04,秦PLUS,22978,4.48,7.98-17.98万
轿车,2025-02,05,宏光MINIEV,22065,4.45,3.28-9.99万
轿车,2025-02,06,朗逸,18911,3.64,8.00-15.19万
轿车,2025-02,07,Model 3,18771,4.58,23.55-33.95万
轿车,2025-02,08,速腾,18010,4.39,13.99-17.29万
轿车,2025-02,09,秦L,16213,4.60,9.98-15.38万
轿车,2025-02,10,帕萨特,15497,4.40,16.45-23.99万
轿车,2025-02,11,小鹏MONA M03,15312,4.56,11.98-13.98万
轿车,2025-02,12,星瑞,15127,4.49,9.97-13.87万
轿车,2025-02,13,轩逸,14078,4.38,10.86-17.49万
轿车,2025-02,14,熊猫,12899,4.59,2.99-5.39万
轿车,2025-02,15,海豹06新能源,12613,4.43,9.98-13.98万
轿车,2025-02,16,迈腾,12192,4.61,17.49-24.69万
轿车,2025-02,17,红旗H5,10540,4.49,15.98-22.58万
轿车,2025-02,18,汉,10444,4.42,16.58-25.98万
轿车,2025-02,19,奥迪A6L,10333,4.53,42.79-65.68万
轿车,2025-02,20,凯美瑞,10289,4.37,17.18-25.98万
轿车,2025-02,21,五菱缤果,10163,4.49,5.68-8.48万
轿车,2025-02,22,长安Lumin,9970,4.53,3.79-6.59万
轿车,2025-02,23,奔驰E级,9701,4.43,45.18-59.98万
轿车,2025-02,24,驱逐舰05,9347,4.52,7.98-13.68万
轿车,2025-02,25,宝马3系,9051,4.51,31.99-39.99万
轿车,2025-02,26,奔驰C级,8851,4.48,33.48-38.06万
轿车,2025-02,27,逸动,8557,4.57,7.29-9.69万
轿车,2025-02,28,雅阁,7741,4.51,17.98-23.88万
轿车,2025-02,29,帝豪,7538,4.53,6.29-14.98万
轿车,2025-02,30,奔腾小马,7405,4.50,2.49-5.39万
轿车,2025-02,31,小鹏P7+,7226,4.53,18.68-20.88万
轿车,2025-02,32,艾瑞泽8,6944,4.34,9.99-14.89万
轿车,2025-02,33,银河L6,6676,4.61,7.98-10.68万
轿车,2025-02,34,荣威i5,6192,4.14,6.89-9.09万
轿车,2025-02,35,宝来,6154,4.23,11.29-14.39万
轿车,2025-02,36,卡罗拉,6019,3.86,11.68-15.58万
轿车,2025-02,37,海豚,6011,4.53,9.98-12.98万
轿车,2025-02,38,亚洲龙,5701,4.42,17.88-25.68万
轿车,2025-02,39,领克03,5542,4.45,12.78-42.03万
轿车,2025-02,40,奥迪A4L,5298,4.54,28.98-36.28万
轿车,2025-02,41,MG5,5276,4.52,6.79-9.99万
轿车,2025-02,42,AION S,5236,4.47,13.98-14.68万
轿车,2025-02,43,宝马5系,5159,4.51,43.99-52.59万
轿车,2025-02,44,海豹06GT,4798,4.46,13.68-18.68万
轿车,2025-02,45,红旗E-QM5,4616,4.58,12.18-23.98万
轿车,2025-02,46,AION RT,4036,4.57,11.98-16.58万
轿车,2025-02,47,极氪001,3933,4.52,25.90-32.90万
轿车,2025-02,48,长安启源A07,3837,4.54,11.99-15.99万
轿车,2025-02,49,奥迪A3,3758,4.48,16.59-20.99万
轿车,2025-02,50,伊兰特,3613,4.49,9.98-14.98万
